date,main_1,main_2,main_3,main_4,main_5,main_6,noroc
1993-03-14,9,24,26,28,34,45,
1993-04-17,13,21,25,28,39,44,
1993-05-16,14,16,19,26,38,47,
1993-06-13,8,13,16,33,46,47,
1993-07-10,2,10,12,31,45,48,
1993-08-08,17,25,30,37,38,47,
1993-08-22,3,17,20,38,44,45,
1993-09-05,5,7,14,19,35,49,
1993-09-19,2,4,16,17,18,35,
1993-10-17,6,7,13,25,29,45,
1993-10-31,12,14,17,19,36,47,
1993-11-28,8,15,17,35,36,37,
1993-12-19,12,15,25,32,46,49,
1994-01-16,2,7,20,27,33,46,
1994-01-30,14,24,26,36,40,47,
1994-02-13,3,8,29,38,47,49,
1994-03-13,22,29,35,39,44,46,
1994-03-27,3,8,11,13,25,38,
1994-04-10,9,11,23,42,45,49,
1994-04-24,8,10,18,25,29,41,
1994-05-08,10,15,21,32,44,49,
1994-05-22,10,18,23,33,35,40,
1994-06-05,7,14,34,44,47,49,
1994-06-19,2,6,11,27,31,46,
1994-07-03,5,19,35,36,38,47,
1994-07-17,17,18,29,34,47,48,
1994-07-31,11,14,17,28,29,39,
1994-08-14,5,21,33,36,40,47,
1994-08-28,18,19,20,23,32,45,
1994-09-11,1,26,28,37,44,48,
1994-09-25,3,7,11,16,41,48,
1994-10-09,9,13,37,39,42,49,
1994-10-23,12,15,38,42,45,48,
1994-11-06,11,12,14,15,16,38,
1994-11-20,23,25,27,34,40,41,
1994-12-04,1,3,12,15,28,31,
1994-12-18,10,12,31,37,43,49,
1995-01-15,18,19,20,28,44,48,
1995-01-29,10,18,23,27,36,41,
1995-02-12,1,4,16,18,31,33,
1995-03-01,5,12,18,23,28,49,
1995-03-12,5,10,24,36,37,48,
1995-03-26,4,11,22,35,39,46,
1995-04-09,3,5,6,13,22,35,
1995-04-23,4,20,28,32,34,48,
1995-05-07,4,7,12,20,36,39,
1995-05-21,8,17,18,24,29,43,
1995-06-04,5,25,26,35,37,42,
1995-06-18,9,24,25,34,36,38,
1995-07-02,4,8,34,43,47,48,
1995-07-16,10,16,23,26,31,43,
1995-07-30,6,14,21,25,27,32,
1995-08-13,24,25,28,33,42,44,
1995-08-27,6,16,32,38,40,45,
1995-09-10,10,17,27,28,32,35,
1995-09-24,7,9,14,26,31,40,
1995-10-08,2,7,26,28,34,45,
1995-10-22,2,12,19,28,43,47,
1995-11-05,1,10,12,18,36,42,
1995-11-19,1,9,16,21,37,42,
1995-12-03,9,23,39,40,41,46,
1995-12-17,3,5,9,10,14,15,
1996-01-02,14,20,24,28,33,37,
1996-01-21,5,12,14,19,27,42,
1996-02-04,11,12,19,20,29,46,
1996-02-18,6,14,37,38,45,47,
1996-03-03,16,21,28,33,35,48,
1996-03-17,5,10,13,22,32,46,
1996-03-31,17,27,30,40,44,48,
1996-04-14,11,15,21,31,36,38,
1996-04-28,8,10,18,25,31,44,
1996-05-12,11,16,20,22,23,35,
1996-05-26,10,19,21,26,29,31,
1996-06-09,1,9,14,27,35,36,
1996-06-23,2,15,19,22,29,31,
1996-07-07,2,8,9,12,41,44,
1996-07-21,10,16,23,36,37,46,
1996-08-04,8,14,15,17,40,48,
1996-08-18,1,5,28,29,47,48,
1996-09-01,3,11,13,15,19,36,
1996-09-15,1,5,7,8,20,36,
1996-09-29,4,8,20,28,29,32,
1996-10-13,17,23,25,27,31,34,
1996-10-27,9,17,20,34,39,40,
1996-11-10,10,12,22,24,34,37,
1996-11-24,3,5,13,15,35,36,
1996-12-08,3,16,20,33,35,47,
1996-12-22,14,23,29,35,48,49,
1997-01-02,5,13,23,25,26,35,
1997-01-19,9,12,23,33,42,43,
1997-02-02,1,11,13,17,20,23,
1997-02-16,5,8,17,18,20,28,
1997-03-02,6,10,16,17,36,42,
1997-03-16,9,12,19,23,37,46,
1997-03-30,5,11,18,27,28,39,
1997-04-13,1,6,14,25,31,41,
1997-04-29,1,12,13,20,21,45,
1997-05-11,16,28,29,31,32,45,
1997-05-25,11,14,15,16,41,46,
1997-06-08,23,26,27,30,37,39,
1997-06-22,4,9,34,40,43,46,
1997-07-06,9,15,16,17,23,26,
1997-07-20,2,10,11,14,24,28,
1997-08-03,2,24,26,28,30,42,
1997-08-17,3,30,34,37,43,46,
1997-08-31,14,22,34,38,46,49,
1997-09-14,2,21,31,40,45,47,
1997-09-28,17,20,22,23,34,43,
1997-10-12,1,24,26,32,43,48,
1997-10-26,4,10,25,26,36,46,
1997-11-09,2,3,5,20,30,37,
1997-11-23,6,15,34,35,38,46,
1997-12-07,4,11,16,29,39,45,
1997-12-21,6,12,24,26,27,46,
1998-01-04,5,17,23,24,34,35,
1998-01-18,8,16,21,23,33,43,
1998-02-01,10,18,19,23,44,48,
1998-02-15,5,31,33,36,39,46,
1998-03-01,2,11,17,30,34,45,
1998-03-15,24,33,35,36,43,49,
1998-03-29,4,8,13,23,29,39,
1998-04-12,7,11,15,25,40,47,
1998-04-26,1,15,22,26,34,45,
1998-05-10,5,11,29,40,43,48,
1998-05-24,8,20,26,43,46,48,
1998-06-07,21,31,32,37,44,45,
1998-06-21,4,5,13,16,17,28,
1998-07-05,11,12,14,17,21,43,
1998-07-19,9,11,18,21,29,49,
1998-08-02,7,15,23,29,33,39,
1998-08-16,3,6,25,33,34,43,
1998-08-30,10,18,22,27,30,49,
1998-09-13,10,14,22,42,44,49,
1998-09-27,3,5,13,16,18,26,
1998-10-11,13,18,26,32,38,46,
1998-10-25,13,16,31,32,43,44,
1998-11-08,7,10,15,17,26,48,
1998-11-22,4,12,30,36,37,46,
1998-12-06,16,22,25,26,27,33,
1998-12-20,19,23,29,36,41,48,
1999-01-10,11,18,36,38,41,43,
1999-01-24,10,20,35,37,41,43,
1999-02-07,20,36,37,38,40,43,
1999-02-21,29,32,33,38,40,43,
1999-03-07,2,11,13,26,31,45,
1999-03-21,2,9,10,30,41,47,
1999-04-04,7,11,18,22,31,35,
1999-04-18,26,29,31,39,45,49,
1999-05-02,3,23,24,26,27,29,
1999-05-16,3,10,14,26,33,36,
1999-05-30,16,20,24,25,31,44,
1999-06-13,11,15,19,24,26,49,
1999-06-27,16,26,27,31,41,49,
1999-07-11,8,10,13,24,28,44,
1999-07-25,16,20,22,28,39,49,
1999-08-08,10,18,21,32,34,35,
1999-08-22,6,9,16,36,43,49,
1999-09-05,12,35,45,46,47,49,
1999-09-19,19,22,26,33,37,47,
1999-10-03,3,13,19,28,33,42,
1999-10-17,5,9,15,33,45,48,
1999-10-31,5,11,27,34,38,47,
1999-11-14,6,18,20,25,43,47,
1999-11-28,10,11,29,31,35,39,
1999-12-12,16,18,24,26,38,39,
1999-12-26,4,12,30,32,33,41,
2000-01-09,13,17,29,33,39,41,
2000-01-23,2,6,17,29,41,46,
2000-02-06,6,8,12,20,29,42,
2000-02-20,5,6,11,23,44,45,
2000-03-05,7,8,17,23,28,48,
2000-03-19,21,23,37,42,47,48,
